Proto,Port,Program
tcp,35046,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,35050,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,35052,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,35060,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,35066,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,35068,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,35110,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,35148,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,35170,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,35216,/var/vcap/data/packages/metric-scraper/<GUID>/metric-scraper
tcp,35312,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,35378,/var/vcap/data/packages/director-ruby-3.1/<GUID>/bin/ruby
tcp,35468,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,35472,/var/vcap/bosh/bin/bosh-agent
tcp,35476,/var/vcap/data/packages/director-ruby-3.1/<GUID>/bin/ruby
tcp,35502,/var/vcap/bosh/bin/bosh-agent
tcp,35512,/var/vcap/data/packages/rep/<GUID>/bin/rep
tcp,35546,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,35606,/var/vcap/data/packages/metric-scraper/<GUID>/metric-scraper
tcp,35624,/var/vcap/data/packages/uaa/<GUID>/jdk/bin/java
tcp,35646,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,35650,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,35652,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,35668,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,35674,/var/vcap/data/packages/udp-forwarder/<GUID>/udp-forwarder
tcp,35684,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,35688,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,35776,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,35949,/var/vcap/data/packages/doppler/<GUID>/doppler
tcp,36043,/var/vcap/data/packages/doppler/<GUID>/doppler
tcp,36084,/var/vcap/bosh/bin/bosh-agent
tcp,36112,/usr/bin/google_guest_agent
tcp,36138,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
